Product ID,Product Name,Price,Quantity
GC1040,RALPH LAUREN Polo Classic Full-Zip Fleece Hooded Sweatshirt,67,1
GC1020,Essential Oil Diffuser Bracelet,15.99,5
IN7080,OnePlus 6T,598,2
SL9040,Unfreedom of the Press,16.8,4
GC3040,Tommy Hilfiger Men's Classic V-Neck Shirt,41.38,10
SL9080,Lodge 10.5 Inch Square Cast Iron Grill Pan,18.92,20
GC3020,Pro Impact Cricket Set,59.99,50
GC3060,Microsoft Surface Pro,739.5,15
GC1060,Pureology Hydrate Moisturizing Shampoo,27.5,4
SL9020,Educated: A Memoir,14.99,20
GC5040,Gourmia GAF645 Digital Stainless Steel Air Fryer ,99.99,100
IN7020,Skechers Women's Glide Ultra-Playa Boat Shoe,34.79,25
SL9060,JBL Link 500,199,55
GC5020,Wilson Energy XL Tennis Racket,22.99,40
IN7040,Neutrogena Hydro Boost  Face Gel Moisturizer,16.97,45
GC5060,Google Chromecast 3rd Generation,34.5,12
IN7060,Michael Kors Women's Jet Set Travel - Large Chain Shoulder Tote,112.01,70
