Product_ID,Product Name,UnitPrice,Category
101,PUMA Men's Archive T7 Track Jacket,44.99,Clothing
102,"Samsung QN65Q9F Flat 65"" TV ",149,Electronics
103,NutriBullet NBR-1201 12-Piece Blender,49.88,Cookware
104,Revlon Hair Dryer ,47.49,Personal Care
105,Lenovo Chromebook C330,249.99,Electronics
106,PUMA Women's Pacer Next Cage Sneaker,30.4,Footwear
107,Franklin Sports Badminton Racquet ,7.69,Sports
108,One Small Sacrifice ,4.99,Books
109,Apple MacBook Pro,1239,Electronics
110,RALPH LAUREN Polo Classic Full-Zip Fleece Hooded Sweatshirt,67,Clothing
111,Essential Oil Diffuser Bracelet,15.99,Personal Care
112,OnePlus 6T,598,Electronics
113,Unfreedom of the Press,16.8,Books
114,Tommy Hilfiger Men's Classic V-Neck Shirt,41.38,Clothing
115,Lodge 10.5 Inch Square Cast Iron Grill Pan,18.92,Cookware
116,Pro Impact Cricket Set,59.99,Sports
117,Microsoft Surface Pro,739.5,Electronics
118,Pureology Hydrate Moisturizing Shampoo,27.5,Personal Care
119,Educated: A Memoir,14.99,Books
120,Gourmia GAF645 Digital Stainless Steel Air Fryer ,99.99,Cookware
121,Skechers Women's Glide Ultra-Playa Boat Shoe,34.79,Footwear
122,JBL Link 500,199,Electronics
123,Wilson Energy XL Tennis Racket,22.99,Sports
124,Neutrogena Hydro Boost  Face Gel Moisturizer,16.97,Personal Care
125,Google Chromecast 3rd Generation,34.5,Electronics
126,Michael Kors Women's Jet Set Travel - Large Chain Shoulder Tote,112.01,Clothing
127,Wilson Evolution Game Basketball,59.7,Sports
128,Aroma Housewares Digital Rice Cooker,33.56,Cookware
129,PlayStation 4 Slim 1 TB Console,299.99,Electronics
130,Redemption,15.29,Books
131,Travelpro Luggage Maxlite Expandable Suitcase,99.99,Luggage
132,AmazonBasics Thermal Laminator Machine,21.88,Electronics
133,Nike Mens Air Max Torch 4 Running Shoes,69,Footwear
134,Cetaphil Deep Cleansing Face & Body Bar,9.94,Personal Care
135,Levi's Men's Regular Fit Jean,26.34,Clothing
136,Xbox 360 Slim,75,Electronics
137,Under Armour Undeniable Duffle Bag,23.99,Luggage
138,adidas Men's Cloudfoam Ultimate Running Shoe,49.95,Footwear
139,Samsung Galaxy S9 +,513,Electronics
140,Samsonite Winfield Luggage,89,Luggage
141,Nike Women’s Air Zoom Pegasus 35 Running Shoes,66.14,Footwear
142,LG LMV1831STMicrowave Oven ,224.6,Cookware
143,Louisville Slugger Baseball Bat,69.95,Sports
144,Oster 2-Slice Toaster,22.99,Cookware
145,The Mister,9.99,Books
146,SwissGear Wenger Ibex Laptop Backpack,80.78,Luggage
147,CLARKS Women's Lafley Rosen Platform,49.13,Footwear
148,Hamilton Beach Juicer Machine,54.99,Cookware
149,Van Heusen Mens Classic Fit Sweater ,34.45,Clothing
150,Apple iPhone XR 64GB,749.99,Electronics
